Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,247808,4x4,1x1,16,524288,49445.0,10.603458388107999
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,248832,4x4,1x1,16,1048576,49448.0,21.205630156932536
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,249856,4x4,1x1,16,2097152,78163.0,26.830495247111806
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,250880,4x4,1x1,16,4194304,152658.0,27.4751667125208
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,251904,4x4,1x1,16,8388608,296523.0,28.28990668514753
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,252928,4x4,1x1,16,16777216,590915.0,28.391927773029963
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,253952,4x4,1x1,16,33554432,1183746.0,28.345972869179707
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,254976,4x4,1x1,16,67108864,2354654.0,28.500520246286715
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,256000,4x4,1x1,16,134217728,4735336.0,28.343865778479078
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,257024,4x4,1x1,16,268435456,9417646.0,28.503455746797023
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,258048,8x8,4x4,64,2048,1747.0,1.1722953634802518
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,259072,8x8,4x4,64,4096,1792.0,2.2857142857142856
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,260096,8x8,4x4,64,8192,1851.0,4.42571582928147
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,261120,8x8,4x4,64,16384,2786.0,5.880832735104092
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,262144,8x8,4x4,64,32768,4650.0,7.0468817204301075
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,263168,8x8,4x4,64,65536,8832.0,7.420289855072464
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,264192,8x8,4x4,64,131072,17451.0,7.510858976562948
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,265216,8x8,4x4,64,262144,34560.0,7.5851851851851855
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,266240,8x8,4x4,64,524288,70695.0,7.416196336374567
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,267264,8x8,4x4,64,1048576,149496.0,7.0140739551559905
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,268288,8x8,4x4,64,2097152,309898.0,6.767233089597222
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,269312,8x8,4x4,64,4194304,765437.0,5.479620138561371
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,270336,8x8,4x4,64,32768,23084.0,1.4195113498527119
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,271360,8x8,4x4,64,65536,23683.0,2.7672169910906557
